personIdExternal;positionEntryDate;managerId;emplStatus;employeeStatus;emplClass;employeeClass;emplmType;employmentType;division;location;company;jobTitle;event;eventReason;position;businessUnit;startDate;endDate;userId
"108728";"null";"100112";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"VP Maintenance";"Pay Rate Change";"PAYOTH";"50000100";"PRODS";"2017-01-01";"2050-04-20";"108728"
"108729";"null";"100112";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"VP Procurement";"Data Change";"DATACHG";"50000102";"PRODS";"2017-03-13";"2050-04-20";"108729"
"108730";"null";"100115";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Quality Assurance Manager";"Pay Rate Change";"ANSALREV";"50014357";"PRODS";"2017-02-28";"2050-04-20";"108730"
"108731";"null";"100115";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Supply Chain Director";"Pay Rate Change";"ANSALREV";"50000300";"PRODS";"2017-02-28";"2050-04-20";"108731"
"108732";"null";"802983";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Engineer I";"Data Change";"DATACHG";"50014347";"PRODS";"2018-12-03";"2050-04-20";"108732"
"108733";"null";"802983";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Engineer II";"Pay Rate Change";"PAYOTH";"50014350";"PRODS";"2017-01-01";"2050-04-20";"108733"
"108734";"null";"802983";"4600";"Terminated";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Engineering";"Termination";"TEROTH";"50014355";"PRODS";"2016-07-28";"2050-04-20";"108734"
"108735";"null";"100239";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Learning Director";"Transfer";"TransNoPay";"50000208";"CORP";"2018-04-15";"2050-04-20";"108735"
"108736";"null";"100239";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"HR Business Office Director USA";"Pay Rate Change";"PAYOTH";"50000206";"CORP";"2017-01-01";"2050-04-20";"108736"
"108737";"null";"108736";"4595";"Active";"4665";"null";"3631";"Salaried staff";"null";"null";"BestRun Company";"IT Business Partner";"Hire";"HIRNEW";"50023041";"CORP";"2014-01-01";"2050-04-20";"108737"
"108738";"null";"108736";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Payroll Admin";"Data Change";"DATACHG";"50023042";"CORP";"2016-07-28";"2050-04-20";"108738"
"108739";"null";"108736";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"HR Project Manager";"Transfer";"TransNoPay";"50014327";"CORP";"2018-04-15";"2050-04-20";"108739"
"108740";"null";"108735";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Learning Business Partner";"Transfer";"TransNoPay";"50000343";"CORP";"2018-04-15";"2050-04-20";"108740"
"108741";"null";"80279";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Chief Talent Officer";"Pay Rate Change";"PAYOTH";"500300201";"CORP";"2017-01-01";"2050-04-20";"108741"
"108742";"null";"108741";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"VP Talent Acquisition";"Pay Rate Change";"PAYOTH";"500300202";"CORP";"2017-01-01";"2050-04-20";"108742"
"108743";"null";"80279";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"VP Global People Operations";"Pay Rate Change";"PAYOTH";"500300203";"CORP";"2017-01-01";"2050-04-20";"108743"
"109001";"null";"101001";"4595";"Active";"4662";"Active";"3638";"Management";"null";"null";"BestRun Russia";"President Russia";"Pay Rate Change";"PAYOTH";"3000200";"CORP";"2017-01-01";"2050-04-20";"109001"
"109002";"null";"109001";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Russia";"VP Information Technology";"Pay Rate Change";"PAYOTH";"3000271";"CORP";"2017-01-01";"2050-04-20";"109002"
"109003";"null";"109001";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Russia";"SVP Sales";"Pay Rate Change";"PAYOTH";"3000270";"SALES";"2017-01-01";"2050-04-20";"109003"
"109004";"null";"109008";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Russia";"Worker's Health & Safety Manager";"Pay Rate Change";"PAYOTH";"3000278";"PRODS";"2017-01-01";"2050-04-20";"109004"
"109005";"null";"109001";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Russia";"VP Human Resources";"Pay Rate Change";"PAYOTH";"3000221";"CORP";"2017-01-01";"2050-04-20";"109005"
"109006";"null";"109001";"4595";"Active";"4662";"Active";"3638";"Management";"null";"null";"BestRun Russia";"Executive Assistant to the President";"Pay Rate Change";"PAYOTH";"3000227";"CORP";"2017-01-01";"2050-04-20";"109006"
"109007";"null";"109001";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Russia";"SVP Operations & Maintenance";"Pay Rate Change";"PAYOTH";"3000225";"PRODS";"2017-01-01";"2050-04-20";"109007"
"109008";"null";"109007";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Russia";"VP Operations";"Pay Rate Change";"PAYOTH";"3000272";"PRODS";"2017-01-01";"2050-04-20";"109008"
"109009";"null";"109007";"4595";"Active";"4662";"Active";"3638";"Management";"null";"null";"BestRun Russia";"VP Facilities";"Pay Rate Change";"PAYOTH";"3000273";"PRODS";"2017-01-01";"2050-04-20";"109009"
"109010";"null";"109007";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Russia";"Executive Assistant";"Pay Rate Change";"PAYOTH";"3000226";"PRODS";"2017-01-01";"2050-04-20";"109010"
"109011";"null";"109007";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Russia";"VP Procurement";"Pay Rate Change";"PAYOTH";"3000274";"PRODS";"2017-01-01";"2050-04-20";"109011"
"109012";"null";"109007";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Russia";"VP Maintenance";"Pay Rate Change";"PAYOTH";"3000275";"PRODS";"2017-01-01";"2050-04-20";"109012"
"109013";"null";"109007";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Russia";"Production Director";"Pay Rate Change";"PAYOTH";"3000276";"PRODS";"2017-01-01";"2050-04-20";"109013"
"109014";"null";"109008";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Russia";"QA Manager";"Pay Rate Change";"PAYOTH";"3000277";"PRODS";"2017-01-01";"2050-04-20";"109014"
"102022";"null";"102023";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun France";"Sr. Compensation Analyst";"Pay Rate Change";"PAYOTH";"50024025";"CORP";"2017-01-01";"2050-04-20";"102022"
"102026";"null";"102035";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun France";"null";"Add Global Assignment";"GAUnassignPosition";"null";"null";"2017-04-12";"2050-04-20";"102026"
"102035";"null";"102014";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun France";"Development Analyst Lead";"Pay Rate Change";"PAYOTH";"50024038";"CORP";"2017-01-01";"2050-04-20";"102035"
"102014";"null";"102016";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun France";"Development Manager";"Pay Rate Change";"PAYOTH";"50024017";"CORP";"2017-01-01";"2050-04-20";"102014"
"102030";"null";"102035";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun France";"Program Manager";"Pay Rate Change";"PAYOTH";"50024033";"CORP";"2017-01-01";"2050-04-20";"102030"
"102010";"null";"102009";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun France";"Program Management Office";"Pay Rate Change";"PAYOTH";"50024013";"PRODS";"2017-01-01";"2050-04-20";"102010"
"102038";"null";"102004";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun France";"Quality Assurance Manager";"Pay Rate Change";"PAYOTH";"50024002";"PRODS";"2017-01-01";"2050-04-20";"102038"
"102034";"null";"102005";"4595";"Active";"4662";"Active";"3638";"Management";"null";"null";"BestRun France";"SVP Operations & Maintenance";"Pay Rate Change";"PAYOTH";"50024037";"PRODS";"2017-01-01";"2050-04-20";"102034"
"102009";"null";"102004";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun France";"Production Director";"Pay Rate Change";"PAYOTH";"50024012";"PRODS";"2017-01-01";"2050-04-20";"102009"
"102032";"null";"102049";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun France";"Scheduler";"Pay Rate Change";"PAYOTH";"50024035";"PRODS";"2017-01-01";"2050-04-20";"102032"
"102004";"null";"102034";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun France";"VP Operations";"Pay Rate Change";"PAYOTH";"50024007";"PRODS";"2017-01-01";"2050-04-20";"102004"
"102008";"null";"102005";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun France";"Executive Assistant";"Pay Rate Change";"PAYOTH";"50024011";"PRODS";"2017-01-01";"2050-04-20";"102008"
"102017";"null";"102004";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun France";"Facilities Manager";"Pay Rate Change";"PAYOTH";"50024020";"PRODS";"2017-01-01";"2050-04-20";"102017"
"103040";"null";"103005";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Germany";"VP Finance";"Pay Rate Change";"PAYOTH";"3000032";"CORP";"2017-01-01";"2050-04-20";"103040"
"102041";"null";"102038";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun France";"QA Engineer";"Pay Rate Change";"PAYOTH";"50024003";"PRODS";"2017-01-01";"2050-04-20";"102041"
"102015";"null";"102036";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun France";"Engineer III";"Pay Rate Change";"PAYOTH";"50024018";"PRODS";"2017-01-01";"2050-04-20";"102015"
"102001";"null";"102036";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun France";"Engineer I";"Pay Rate Change";"PAYOTH";"50024004";"PRODS";"2017-01-01";"2050-04-20";"102001"
"102036";"null";"102009";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun France";"Engineering Manager";"Pay Rate Change";"PAYOTH";"50024039";"PRODS";"2017-01-01";"2050-04-20";"102036"
"103095";"null";"103092";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun India";"VP Human Resources IN";"Pay Rate Change";"PAYOTH";"3000321";"CORP";"2017-01-01";"2050-04-20";"103095"
"1000971";"null";"103036";"4595";"Active";"30087";"Consultant";"3637";"Salaried Employee";"null";"null";"BestRun Australia";"Capacity Planning Manager";"Pay Rate Change";"PAYOTH";"50025045";"PRODS";"2017-01-01";"2050-04-20";"1000971"
"LOA01";"null";"100083";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"HR Professional";"Hire";"HIRNEW";"50011020";"SALES";"2015-01-01";"2050-04-20";"LOA01"
"108796";"null";"107009";"4595";"Active";"30087";"Consultant";"3631";"Salaried staff";"null";"null";"BestRun Company";"??????";"Pay Rate Change";"PAYOTH";"50021047";"PRODS";"2017-01-01";"2050-04-20";"108796"
"108794";"null";"106037";"4595";"Active";"30087";"Consultant";"3637";"Salaried Employee";"null";"null";"BestRun Germany";"Capacity Planning Manager";"Pay Rate Change";"PAYOTH";"5000339";"PRODS";"2017-01-01";"2050-04-20";"108794"
"103073";"null";"80281";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"VP Shared Services";"Pay Rate Change";"PAYOTH";"3000326";"CORP";"2017-01-01";"2050-04-20";"103073"
"108792";"null";"104036";"4595";"Active";"30087";"Consultant";"3637";"Salaried Employee";"null";"null";"BestRun France";"Capacity Planning Manager";"Pay Rate Change";"PAYOTH";"50026045";"PRODS";"2017-01-01";"2050-04-20";"108792"
"100498";"null";"102009";"4595";"Active";"30087";"Consultant";"3637";"Salaried Employee";"null";"null";"BestRun UK";"Capacity Planning Manager";"Pay Rate Change";"PAYOTH";"5000381";"PRODS";"2017-01-01";"2050-04-20";"100498"
"100188";"null";"101037";"4595";"Active";"30087";"Consultant";"3637";"Salaried Employee";"null";"null";"BestRun Brazil";"Capacity Planning Manager";"Pay Rate Change";"PAYOTH";"50000326";"PRODS";"2017-01-01";"2050-04-20";"100188"
"103093";"null";"103092";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun India";"SVP Operations & Maintenance";"Hire";"HIRNEW";"3000320";"PRODS";"2015-03-16";"2050-04-20";"103093"
"999999999";"null";"802984";"4595";"Active";"4662";"Active";"3632";"Senior staff";"null";"null";"BestRun Company";"Administrative Support";"Data Change";"DATACHG";"500300216";"CORP";"2015-10-01";"2050-04-20";"999999999"
"103089";"null";"103073";"4595";"Active";"30092";"Contractor";"3636";"Contractor Pay";"null";"null";"BestRun Company";"Customer Service Agent (Ext)";"Data Change";"DATACHG";"3000327";"CORP";"2014-02-03";"2050-04-20";"103089"
"100241";"null";"100152";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Sr. Compensation Analyst";"Transfer";"TransNoPay";"50025723";"CORP";"2018-04-15";"2050-04-20";"100241"
"108713";"null";"100009";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Sr Recruiter";"Transfer";"TransNoPay";"50008488";"CORP";"2018-04-15";"2050-04-20";"108713"
"108721";"null";"100009";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Recruiter";"Transfer";"TransNoPay";"50008491";"CORP";"2018-04-15";"2050-04-20";"108721"
"108722";"null";"100009";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Recruiter";"Transfer";"TransNoPay";"50008492";"CORP";"2018-04-15";"2050-04-20";"108722"
"108723";"null";"100009";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Recruiter";"Transfer";"TransNoPay";"50008493";"CORP";"2018-04-15";"2050-04-20";"108723"
"196802";"null";"100083";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Development Analyst";"Transfer";"TransNoPay";"50005180";"CORP";"2018-04-15";"2050-04-20";"196802"
"28005";"null";"28008";"4595";"Active";"4662";"Active";"3636";"Contractor Pay";"null";"null";"null";"Scheduler";"Data Change";"DATASTAT";"50006526";"PRODS";"2017-01-01";"2050-04-20";"28005"
"28006";"null";"28008";"4595";"Active";"4662";"Active";"3636";"Contractor Pay";"null";"null";"null";"Planner";"Data Change";"DATASTAT";"50006527";"PRODS";"2017-01-01";"2050-04-20";"28006"
"28008";"null";"107009";"4595";"Active";"4662";"Active";"3638";"Management";"null";"null";"null";"???????";"Transfer";"PAYXFR";"50006580";"PRODS";"2018-04-01";"2050-04-20";"28008"
"28009";"null";"107004";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Supply Chain Manager";"Data Change";"DATASTAT";"50021045";"PRODS";"2017-01-01";"2050-04-20";"28009"
"28010";"null";"107015";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Engineer III";"Data Change";"DATASTAT";"50021052";"PRODS";"2017-01-01";"2050-04-20";"28010"
"28011";"null";"107034";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"VP Maintenance";"Data Change";"DATASTAT";"50006579";"PRODS";"2017-01-01";"2050-04-20";"28011"
"69102";"null";"69121";"4595";"Active";"4662";"Active";"3638";"Management";"null";"null";"null";"President China";"Data Change";"DATASTAT";"50014335";"CORP";"2017-01-01";"2050-04-20";"69102"
"69104";"null";"69102";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Executive Assistant";"Data Change";"DATASTAT";"50014336";"CORP";"2017-01-01";"2050-04-20";"69104"
"69106";"null";"107034";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"VP Procurement";"Data Change";"DATASTAT";"50014356";"PRODS";"2017-01-01";"2050-04-20";"69106"
"69108";"null";"107015";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Engineer I";"Data Change";"DATASTAT";"50021004";"PRODS";"2017-01-01";"2050-04-20";"69108"
"69110";"null";"69106";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Senior Electrical Engineer";"Data Change";"DATASTAT";"50014343";"PRODS";"2017-01-01";"2050-04-20";"69110"
"69112";"null";"69106";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Scheduler";"Data Change";"DATASTAT";"50014344";"PRODS";"2017-01-01";"2050-04-20";"69112"
"69114";"null";"69106";"4595";"Active";"4662";"Active";"3629";"Hourly rate/staff";"null";"null";"null";"Administrator";"Data Change";"DATASTAT";"50014346";"PRODS";"2017-01-01";"2050-04-20";"69114"
"69116";"null";"69106";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Intern";"Data Change";"DATASTAT";"50014348";"PRODS";"2017-01-01";"2050-04-20";"69116"
"69117";"null";"107010";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Portfolio Management";"Data Change";"DATASTAT";"50021051";"PRODS";"2017-01-01";"2050-04-20";"69117"
"69118";"null";"107004";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Worker's Health & Safety Manager";"Data Change";"DATASTAT";"50021046";"PRODS";"2017-01-01";"2050-04-20";"69118"
"69119";"null";"107010";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Project Analyst";"Data Change";"DATASTAT";"50021049";"PRODS";"2017-01-01";"2050-04-20";"69119"
"69120";"null";"107010";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Project Manager";"Data Change";"DATASTAT";"50021050";"PRODS";"2017-01-01";"2050-04-20";"69120"
"69121";"null";"890223";"4595";"Active";"4662";"Active";"3638";"Management";"null";"null";"null";"President BestRun Asia Pacific";"Data Change";"DATASTAT";"50014429";"CORP";"2017-01-01";"2050-04-20";"69121"
"80279";"null";"80281";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Chief Human Resources Officer";"Pay Rate Change";"PAYOTH";"50014279";"CORP";"2017-01-01";"2050-04-20";"80279"
"80280";"null";"80279";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Executive Assistant";"Data Change";"DATACHG";"50014281";"CORP";"2017-03-22";"2050-04-20";"80280"
"80281";"null";"890223";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Chief Operating Officer";"Pay Rate Change";"PAYOTH";"50014275";"CORP";"2017-01-01";"2050-04-20";"80281"
"80282";"null";"80281";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Executive Assistant";"Pay Rate Change";"PAYOTH";"50014278";"CORP";"2017-01-01";"2050-04-20";"80282"
"80283";"null";"200011";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Chief Learning Officer";"Pay Rate Change";"PAYOTH";"50014280";"CORP";"2021-01-15";"2050-04-20";"80283"
"80285";"null";"80283";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Director Center of Excellence";"Pay Rate Change";"PAYOTH";"50014283";"CORP";"2017-01-01";"2050-04-20";"80285"
"80286";"null";"80283";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Director Learning";"Pay Rate Change";"PAYOTH";"50014284";"CORP";"2017-01-01";"2050-04-20";"80286"
"80287";"null";"80279";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Employee Relations VP";"Pay Rate Change";"PAYOTH";"50014287";"CORP";"2017-01-01";"2050-04-20";"80287"
"80288";"null";"80287";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"European Labor Law";"Pay Rate Change";"PAYOTH";"50014286";"CORP";"2017-01-01";"2050-04-20";"80288"
"80284";"null";"80283";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"Director Curriculum Design";"Transfer";"TransNoPay";"50014282";"CORP";"2017-09-15";"2050-04-20";"80284"
"107031";"null";"69102";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"VP Human Resources";"Data Change";"DATASTAT";"50021034";"CORP";"2017-01-01";"2050-04-20";"107031"
"107033";"null";"107016";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Executive Assistant";"Data Change";"DATASTAT";"50021036";"CORP";"2017-01-01";"2050-04-20";"107033"
"107028";"null";"107041";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"HR Business Partner";"Data Change";"DATASTAT";"50021031";"CORP";"2017-01-01";"2050-04-20";"107028"
"107019";"null";"107041";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"HR Project Manager";"Data Change";"DATASTAT";"50021022";"CORP";"2017-01-01";"2050-04-20";"107019"
"107016";"null";"107031";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Director of Talent Management";"Data Change";"DATASTAT";"50021019";"CORP";"2017-01-01";"2050-04-20";"107016"
"107027";"null";"107025";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Sr Recruiter";"Data Change";"DATASTAT";"50021030";"CORP";"2017-01-01";"2050-04-20";"107027"
"107020";"null";"107025";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"null";"Add Global Assignment";"GAUnassignPosition";"null";"null";"2017-04-12";"2050-04-20";"107020"
"107024";"null";"107025";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Recruiter";"Data Change";"DATASTAT";"50021027";"CORP";"2017-01-01";"2050-04-20";"107024"
"107025";"null";"107016";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Recruiting Manager";"Data Change";"DATASTAT";"50021028";"CORP";"2017-01-01";"2050-04-20";"107025"
"107021";"null";"107025";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Recruiter";"Data Change";"DATASTAT";"50021024";"CORP";"2017-01-01";"2050-04-20";"107021"
"107003";"null";"107025";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Recruiter";"Data Change";"DATASTAT";"50021006";"CORP";"2017-01-01";"2050-04-20";"107003"
"107022";"null";"107023";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Sr. Compensation Analyst";"Data Change";"DATASTAT";"50021025";"CORP";"2017-01-01";"2050-04-20";"107022"
"107023";"null";"107016";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"null";"Compensation Manager";"Data Change";"DATASTAT";"50021026";"CORP";"2017-01-01";"2050-04-20";"107023"
